id,title,complaint_text,user_id,timestamp,view,url,complaint_answer_container,comments_count,comments,complaint_text_preview,supported
33179598,"Satın Aldığım JBL Kulaklığın Sol Tarafı Şarj Olmuyor, Değişim Veya İade Talebim Var",19.07.2025 tarihinde Sarp gumruk kapısı Setur Duty Free mağazasından satin aldığım JBL tune Flex 2 kablosuz kulaklığımın sol tarafı şarj olmuyor. Daha 1 hafta bile kullanamadan böyle bir sorunla karşılaşmak üzüntü verici. Sorunumun Setur firmasi ve JBL tarafından çözülmesini ve yeni cihazla değişim ya da paramın iadesini talep ediyorum,Feyzullah,28 Temmuz 02:50,142,https://www.sikayetvar.com/setur-turizm/satin-aldigim-jbl-kulakligin-sol-tarafi-sarj-olmuyor-degisim-veya-iade-talebim-var,,0,[],19.07.2025 tarihinde Sarp gumruk kapısı Setur Duty Free mağazasından satin aldığım JBL tune Flex 2 kablosuz kulaklığımın sol tarafı şarj olmuyor. Daha...,0
33178163,Rezervasyonum Olmasına Rağmen Otele Alınmadım Yolda Mağdur Edildim,"27 Temmuz'da Setur'dan Sidera Kirman Premium Otel için 28.07.2025-01.08.2025 tarihleri arasında, 4 gece 1485842 numaralı rezervasyon yaptım. Ancak otele gitmek için yola çıktığımda,4442822numaralı telefondan arandım ve otelin belirtilen tarihlerde dolu olduğu, rezervasyonumu başka bir otele aktarabilecekleri veya para iadesi yapabilecekleri iletildi. Şu anda yolda olduğumu belirttim, bana üslupsuz bir şekilde 'Erken çıkmışsınız' dediler. Setur'dan rezervasyon yapmayın, yaptırmayın. Şu an yoldayım, araç mı kullanayım başka otele mi bakayım, beni mağdur ettiler.",Onur,27 Temmuz 22:12,1.985,https://www.sikayetvar.com/setur-turizm/rezervasyonum-olmasina-ragmen-otele-alinmadim-yolda-magdur-edildim,Şikayet ile ilgili dönüş olmadı personelleri bilgisiz sadece sisteme not düşüyorlar geri dönüş olmuyor tatil yolunda rezil oldum resepsiyonda saatlerce bekledik 15:00de rica minnet check-in yapabildik Setur firmasını önermiyorum kesinlikle,0,[],"27 Temmuz'da Setur'dan Sidera Kirman Premium Otel için 28.07.2025-01.08.2025 tarihleri arasında, 4 gece 1485842 numaralı rezervasyon yaptım. Ancak otele gitmek için yola çıktığımda, 4442822 numaralı telefondan arandım ve otelin belirtilen tarihlerde dolu olduğu, rezervasyonumu başka bir otele aktara...",0
33164606,Setur Turizm Müşteri İlişkisi Yok,Setur TurizmMüşteri İlişkisi Yok00:00GökhanSetur Turizm27 Temmuz 14:19138DestekleYorum YazKaydetPaylaşSorun BildirSetur Turizm,Gökhan,27 Temmuz 14:19,318,https://www.sikayetvar.com/setur-turizm/setur-turizm-musteri-iliskisi-yok-video,Sakın ama sakın Setur üzerinden rezervasyon yapmayın Kıbrıs'ta Nuh'un gemisi otelini rezervasyon yaptım 2 gün sonra otel değişikliği için aradım otel hakkında kötü yorumlar gördüm diye aradım bu iş bilmeyen firma bana otelin rezervasyonunu iptal etmediğini dile getirdi fakat otelin aradığımda kesinlikle yalan söylediklerini müşteri olarak hizmet almadığınız bir ürünü veya konaklamayı iptal edebilirsiniz dediler bu Allah'ın belası firma kesinlikle dolandırıcıdır bunlardan hizmet almak size bu hayattaki en büyük hata olur numaram ve bilgilerim de kendilerinde var Tüketici Hakem Heyeti'ne başvuru yaptım bunlardan hakkımı misliyle alacağım,0,[],,0
33174524,Tur Broşüründeki Fiyatın Üzerinde Ücret Alındı,"22-26 Temmuz Paris Disneyland turuna katıldık. Ekstra Disneyland ücreti broşürde 150 euro olarak görünüyordu. Ancak bizden 200 euro istendi ve bu şekilde ödemek zorunda kaldık. 50 euro fazla ödedik, bu mağduriyetin giderilmesini talep ediyorum. Fransa'ya gidildiğinde tur broşürlerinde yazandan fazla ücret talep edilmesinden şikayetçiyim.",Merve,27 Temmuz 13:35,2.776,https://www.sikayetvar.com/setur-turizm/tur-brosurundeki-fiyatin-uzerinde-ucret-alindi,,0,[],"22-26 Temmuz Paris Disneyland turuna katıldık. Ekstra Disneyland ücreti broşürde 150 euro olarak görünüyordu. Ancak bizden 200 euro istendi ve bu şekilde ödemek zorunda kaldık. 50 euro fazla ödedik, bu mağduriyetin giderilmesini talep ediyorum. Fransa'ya gidildiğinde tur broşürlerinde yazandan fazla...",0
33174329,"60.000 TL Ödedim, Otelde İsmim Yoktu, Tatilim Mahvoldu","26 Temmuz tarihinde Setur üzerinden 60.000 TL ödeyerek Antalya’daki Royal Wings oteline rezervasyon yaptım. 1 gün sonra otele giriş yapmak için gittiğimde, resepsiyon bana “sizin adınıza rezervasyon yok, otelimizde de boş yer yok” dedi. Sıcakta bavullarla beklemek zorunda kaldım, duşa bile giremedim, otele alınmadım.
Setur ’a defalarca ulaşmaya çalıştım, “bekleyin, bilgi veremeyiz” demekten başka hiçbir şey yapmadılar. Ne ilgilenen var, ne çözüm üreten. Şu an tatilimin en değerli ilk günü mahvoldu, zaman kaybım, stresim, maddi zararım ve manevi çöküşüm ortada.
60.000 TL ödeyip bu muameleyi görmek kabul edilemez! Derhal:•	Paramın iadesi,•	Daha iyi bir otele geçiş sağlanması,•	Yaşadığım mağduriyetin tazminiyapılmadığı takdirde, Tüketici Hakem Heyeti, CİMER, Ticaret Bakanlığı ve hukuki tüm yollarla hakkımı arayacağım.
Bu mesaj resmî delil niteliğindedir. Gereğinin acilen yapılmasını talep ediyorum.",Onur,27 Temmuz 13:05,654,https://www.sikayetvar.com/setur-turizm/60000-tl-odedim-otelde-ismim-yoktu-tatilim-mahvoldu,,0,[],"26 Temmuz tarihinde Setur üzerinden 60.000 TL ödeyerek Antalya’daki Royal Wings oteline rezervasyon yaptım. 1 gün sonra otele giriş yapmak için gittiğimde, resepsiyon bana “sizin adınıza rezervasyon yok, otelimizde de boş yer yok” dedi. Sıcakta bavullarla beklemek zorunda kaldım, duşa bile giremedim...",0
33173455,Setur'dan Beklentilerimizin Çok Altında Bir Tatil Deneyimi,Setur pişmanlıktır.Aldığımız otel tatilimizin anlatılanlar alakası yok. Setur 'un otelin yerini bildiğinden şüpheliyim. Derdini asla dinleyen yok. Setur 'u seçin değersizliği yaşayın. Çünkü sadece paranızı alana kadar adamsınız. Hizmet yok değer yok,Ömer,27 Temmuz 10:57,654,https://www.sikayetvar.com/setur-turizm/seturdan-beklentilerimizin-cok-altinda-bir-tatil-deneyimi,,0,[],Setur pişmanlıktır. Aldığımız otel tatilimizin anlatılanlar alakası yok. Setur 'un otelin yerini bildiğinden şüpheliyim. Derdini asla dinleyen yok. Setur 'u seçin değersizliği yaşayın. Çünkü sadece paranızı alana kadar adamsınız. Hizmet yok değer yok,0
33173321,Setur 'dan Aldığım Tatilde İkinci Otel Hayal Kırıklığı Ve İletişim Sorunu,"Setur 'dan art arda iki haftalık tatil satın aldım. İlk otelimizde ailece çok memnun kaldık ve memnuniyetimizi ilgili firmaya ilettik. İkinci oteli ise call center çalışanının tavsiyesi ile aldım. İlkine göre daha küçük ama memnuniyet oranı benzer ve fiyat farkı çok olmayan bir oteldi. İki hafta aynı otelde sıkılacağımızı düşünüp, farklı bir deneyim için iki farklı otel tercih ettik. Ancak ikinci otel, ilkine göre en az %80 farkla çok kötüydü; ilgisiz ve kalitesizdi. Bunu Setur 'a ilettim. Aynı gün yaklaşık 15 kez aradım, dönüş yapılacağı söylendi ve her defasında telefon kapatıldı. Ertesi sabah tekrar aradığımda talebimin reddedildiğini öğrendim. Ancak Setur asla dönüş yapmıyor, aciliyetini bildikleri halde. İlk kez Setur 'la çalıştım ve bu kesinlikle son olacak.",Ebru,27 Temmuz 10:24,,https://www.sikayetvar.com/setur-turizm/setur-dan-aldigim-tatilde-ikinci-otel-hayal-kirikligi-ve-iletisim-sorunu,,0,[],Setur 'dan art arda iki haftalık tatil satın aldım. İlk otelimizde ailece çok memnun kaldık ve memnuniyetimizi ilgili firmaya ilettik. İkinci oteli ise call center çalışanının tavsiyesi ile aldım. İlkine göre daha küçük ama memnuniyet oranı benzer ve fiyat farkı çok olmayan bir oteldi. İki hafta ayn...,0
33169790,Yanlış Parfüm Satışı Sonrası Güven Sorunu,Sarp Sınır Kapısı'nda Setur Duty Free'den 200 ml Paco Rabanne Invictus parfüm aldım. Ben klasik olan parfümünü istemiştim ama bana alakasız bir parfüm satılmış. Parfümü iade etmek istiyorum ya da istediğim parfümle değişimini talep ediyorum. Güvenimizi boşa çıkarmayınız.,Aydın,26 Temmuz 19:35,4.121,https://www.sikayetvar.com/setur-turizm/yanlis-parfum-satisi-sonrasi-guven-sorunu,,0,[],Sarp Sınır Kapısı'nda Setur Duty Free'den 200 ml Paco Rabanne Invictus parfüm aldım. Ben klasik olan parfümünü istemiştim ama bana alakasız bir parfüm satılmış. Parfümü iade etmek istiyorum ya da istediğim parfümle değişimini talep ediyorum. Güvenimizi boşa çıkarmayınız.,0
33169660,Setur'dan Rezervasyon Sonrası Hayal Kırıklığı: Oda Standart Dışı Ve Hizmet Eksikliği,"Setur'dan Antalya Kaş'ta bir otel odası rezervasyonu yaptım ve ödememi tamamladım. 12 saatlik bir yolculuktan sonra otele geldiğimde, tavan yüksekliği 160 cm olan ve otel odası olduğu iddia edilen bir oda tarafıma verildi. Ben de odaya diğer tüm insanlar gibi sığamayacağım için reddettim. Setur'a bu konuda defalarca bilgi verdim; ancak, tarafıma odayı almayı reddettiğim için yardımcı olamayacaklarını belirttiler ve telefonda 'Yapacak bir şeyiniz yok, otel ödeme yapmayı reddediyor' dediler. Kısacası, paramı aldılar ancak hizmet vermediler. Bu durumda 21 bin liram boşa gitti. Bana tatili sattılar; ancak, vaat ettikleri odayı ve hizmeti sağlamadılar. Bir yıl boyunca çalışıp 3-4 gün tatil yapmak için uğraşıyoruz; ancak, Setur gibi bir firmadan gelen bu açıklamalar ve geri dönüşler çok üzücü.",Murat,26 Temmuz 19:21,654,https://www.sikayetvar.com/setur-turizm/seturdan-rezervasyon-sonrasi-hayal-kirikligi-oda-standart-disi-ve-hizmet-eksikligi,26.07.2025 tarihinde 19:21 tarihinde Setur İrem hanım tarafından arandım ve tarafıma bilgi verileceği bildirildi ancak tarafıma dönüş gerçekleştirilmedi. Almadığım hizmetin bedelinin tarafıma ödenmesini rica ediyorum.,0,[],"Setur'dan Antalya Kaş'ta bir otel odası rezervasyonu yaptım ve ödememi tamamladım. 12 saatlik bir yolculuktan sonra otele geldiğimde, tavan yüksekliği 160 cm olan ve otel odası olduğu iddia edilen bir oda tarafıma verildi. Ben de odaya diğer tüm insanlar gibi sığamayacağım için reddettim. Setur'a bu...",0
33159549,"Bilet Ücreti Çekildi, Hizmet Sağlanmadı: Müşteri Hizmetlerinde Büyük Hayal Kırıklığı","setur.com üzerinden aldığım uçak bileti için Biletleme işlemi gerçekleşti, kartımdan ücret kesildi. Ama firma sistemsel hatadan dolayı çekim yapmadığını söylüyor. Bu yüzden beni 2 gündür bekletiyor. Defalarca mail attım, çağrı merkezi ile sayısız görüştüm ama asla talebime karşılık bulamıyorum. Sadece mesai saati bitene kadar beklemem gerektiğini ilettiler. Asla muhatap bulamıyorsunuz. 45 dakika genel müdürlükleri ile görüşmeye çalıştım fakat kimseye ulaşamadım. Telefonu bile açmadılar. Ben bu sorunu yaşadıktan 3 dakika sonra bilet fiyatını hemen yükselttiler. Şimdi ise aldığım bileti iptal edip, yüksek tutardan bilet almaya mecbur bırakıldım. Denetleyen eden olmayınca sonuç bu tabi. Müşteri memnuniyeti en son seçenek, seçenek bile değil hatta. Bir daha asla. Ne kendime ne çevreme asla kullandırtmayacağım. Bu terbiyesizliği de her yerde dile getireceğim.",Melisa,25 Temmuz 19:01,656,https://www.sikayetvar.com/setur-turizm/bilet-ucreti-cekildi-hizmet-saglanmadi-musteri-hizmetlerinde-buyuk-hayal-kirikligi,,0,[],"setur.com üzerinden aldığım uçak bileti için Biletleme işlemi gerçekleşti, kartımdan ücret kesildi. Ama firma sistemsel hatadan dolayı çekim yapmadığını söylüyor. Bu yüzden beni 2 gündür bekletiyor. Defalarca mail attım, çağrı merkezi ile sayısız görüştüm ama asla talebime karşılık bulamıyorum. Sade...",0
33141558,Setur'dan Kıbrıs Otel Rezervasyonu Sonrası Transfer Hizmetinde İletişim Sorunu,Setur üzerinden Kıbrıs'ta otel rezervasyonu yaptım. Daha sonra havalimanı otel transferi ayarlamak istediğimizde 2 gün boyunca ya başka taraflara yönlendirdiler ya da telefonlara cevap vermediler. Ücreti karşılığı transfer yapamadım. Şu an bunu yazarken 5 dakikadır telefonda bekleme müziği dinlemekteyim,Soner,24 Temmuz 11:18,4.121,https://www.sikayetvar.com/setur-turizm/seturdan-kibris-otel-rezervasyonu-sonrasi-transfer-hizmetinde-iletisim-sorunu,Ertesi gün tekrar kayıt oluşturdum ve geç saatte de olsa arandım. Rezervasyonlar yapıldı. Ancak 20 dakikalık iş için 2 gün bekletilmem değişmedi,0,[],Setur üzerinden Kıbrıs'ta otel rezervasyonu yaptım. Daha sonra havalimanı otel transferi ayarlamak istediğimizde 2 gün boyunca ya başka taraflara yönlendirdiler ya da telefonlara cevap vermediler. Ücreti karşılığı transfer yapamadım. Şu an bunu yazarken 5 dakikadır telefonda bekleme müziği dinlemekt...,0
